fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
begin-55.1-1	Synset('attempt.n.01')		Synset('person.n.01')	complete-55.2
calibratable_cos-45.6-1	dow		continue-55.3	Synset('framework.n.03')
Synset('commerce.n.01')	Synset('written_agreement.n.01')		characterize-29.2-1	Synset('discussion.n.02')
judgement-33	Synset('slav.n.01')		Synset('discussion.n.02')	bosnia
Synset('activity.n.01')	Synset('collection.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('precious_metal.n.01')	send-11.1		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
Synset('commerce.n.01')	Synset('written_agreement.n.01')		characterize-29.2-1	perot
amuse-31.1	bill-54.5		characterize-29.2-1	perot
escape-51.1-1	Synset('capitalist.n.02')		Synset('activity.n.01')	Synset('capital.n.01')
await	Synset('capitalist.n.02')		Synset('monetary_unit.n.01')	correspond-36.1
Synset('tax.n.01')	Synset('agent.n.05')		Synset('value.n.02')	Synset('funds.n.01')
Synset('collection.n.01')	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
judgement-33	Synset('slav.n.01')		Synset('indefinite_quantity.n.01')	conjecture-29.5-2
appear-48.1.1	Synset('propulsion.n.02')		murder-42.1-1	Synset('adult.n.01')
other_cos-45.4	Synset('potential.n.01')		other_cos-45.4	Synset('lipid.n.01')
Synset('point.n.06')	Synset('slav.n.01')		Synset('indefinite_quantity.n.01')	bosnia
other_cos-45.4	Synset('selling.n.01')		Synset('value.n.02')	Synset('lipid.n.01')
exist-47.1-1	iraq		other_cos-45.4	Synset('woody_plant.n.01')
await	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
exist-47.1-1	Synset('questioning.n.01')		Synset('woody_plant.n.01')	Synset('honor.n.02')
Synset('activity.n.01')	await		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('financial_gain.n.01')		Synset('payment.n.02')	Synset('user.n.01')
amuse-31.1	bill-54.5		characterize-29.2-1	Synset('discussion.n.02')
escape-51.1-2	Synset('position.n.01')		Synset('danger.n.03')	Synset('fear.n.01')
begin-55.1-1	Synset('attempt.n.01')		amuse-31.1	Synset('genitor.n.01')
other_cos-45.4	Synset('organic_process.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('document.n.01')	await		stop-55.4-1	Synset('monetary_unit.n.01')
amuse-31.1	Synset('request.n.01')		appear-48.1.1	Synset('value.n.02')
Synset('power.n.01')	Synset('weapon.n.01')		other_cos-45.4	Synset('military_action.n.01')
amuse-31.1	Synset('tax.n.01')		calibratable_cos-45.6-1	Synset('evaluation.n.02')
other_cos-45.4	Synset('property.n.02')		characterize-29.2-1	Synset('duty.n.02')
begin-55.1-1	Synset('season.n.02')		appear-48.1.1	Synset('building.n.01')
Synset('indefinite_quantity.n.01')	Synset('share.n.01')		appear-48.1.1	Synset('value.n.02')
calibratable_cos-45.6-1	Synset('indefinite_quantity.n.01')		Synset('value.n.02')	Synset('evidence.n.02')
Synset('assets.n.01')	Synset('medium_of_exchange.n.01')		calibratable_cos-45.6-1	Synset('funds.n.01')
Synset('attraction.n.01')	Synset('rubbish.n.01')		Synset('activity.n.01')	Synset('inhabitant.n.01')
appear-48.1.1	Synset('gossip.n.02')		Synset('municipality.n.01')	Synset('civil_authority.n.01')
Synset('time_period.n.01')	near		appear-48.1.1	Synset('gossip.n.02')
Synset('gathering.n.01')	force-59		Synset('organic_process.n.01')	lag
Synset('income.n.01')	Synset('motor_vehicle.n.01')		other_cos-45.4	Synset('assets.n.01')
Synset('value.n.02')	Synset('lipid.n.01')		appear-48.1.1	Synset('commerce.n.01')
appear-48.1.1	Synset('contestant.n.01')		amuse-31.1	Synset('enterprise.n.02')
admire-31.2	Synset('woman.n.01')		amuse-31.1	Synset('unit.n.03')
calibratable_cos-45.6-1	Synset('activity.n.01')		conjecture-29.5-2	Synset('clue.n.02')
Synset('gathering.n.01')	Synset('body.n.02')		Synset('discussion.n.02')	neglect-75-1-1
ferret-35.6	Synset('capitalist.n.02')		Synset('precious_metal.n.01')	Synset('conductor.n.02')
other_cos-45.4	seem		other_cos-45.4	Synset('activity.n.01')
amuse-31.1	Synset('slope.n.01')		amuse-31.1	Synset('discussion.n.02')
near	Synset('vote.n.02')		Synset('organization.n.01')	force-59
ferret-35.6	Synset('condition.n.01')		Synset('value.n.02')	Synset('conductor.n.02')
appear-48.1.1	Synset('illness.n.01')		hong	kong
calibratable_cos-45.6-1	Synset('component.n.01')		Synset('framework.n.03')	withdraw-82-3
Synset('legal_document.n.01')	Synset('building.n.01')		judgement-33	Synset('woody_plant.n.01')
other_cos-45.4	Synset('slope.n.01')		other_cos-45.4	Synset('monetary_unit.n.01')
Synset('happening.n.01')	Synset('unit.n.03')		convert-26.6.2	peer-30.3
appear-48.1.1	Synset('aggression.n.03')		murder-42.1-1	Synset('explosive_device.n.01')
calibratable_cos-45.6-1	Synset('airplane.n.01')		escape-51.1-2	Synset('property.n.02')
Synset('idea.n.01')	Synset('order.n.03')		murder-42.1-1	Synset('explosive_device.n.01')
Synset('activity.n.01')	Synset('legislature.n.01')		clinton	Synset('decision_making.n.01')
Synset('framework.n.03')	rebound		Synset('monetary_unit.n.01')	Synset('sphere.n.05')
calibratable_cos-45.6-1	Synset('levy.n.01')		Synset('fund.n.01')	Synset('share.n.01')
dow	Synset('component.n.01')		braid-41.2.2	Synset('rate.n.01')
Synset('value.n.02')	Synset('maker.n.01')		Synset('attraction.n.01')	Synset('flow.n.01')
begin-55.1-1	Synset('conference.n.03')		begin-55.1-1	Synset('legal_document.n.01')
contribute-13.2-1	Synset('quality.n.01')		appear-48.1.1	Synset('attempt.n.01')
bring-11.3	Synset('grasping.n.02')		other_cos-45.4	Synset('activity.n.01')
Synset('income.n.01')	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('precious_metal.n.01')
appear-48.1.1	Synset('lipid.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
appear-48.1.1	dow		Synset('framework.n.03')	correspond-36.1
Synset('activity.n.01')	Synset('property.n.02')		Synset('person.n.01')	poison-42.2
begin-55.1-1	Synset('discussion.n.02')		Synset('commerce.n.01')	Synset('disparity.n.01')
Synset('assets.n.01')	Synset('medium_of_exchange.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
calibratable_cos-45.6-1	Synset('framework.n.03')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
escape-51.1-2	Synset('discussion.n.02')		characterize-29.2-1-2	Synset('development.n.01')
murder-42.1-1	Synset('explosive_device.n.01')		other_cos-45.4	Synset('safety.n.01')
crane-40.3.2	Synset('agent.n.05')		Synset('value.n.02')	Synset('sphere.n.05')
Synset('force.n.04')	Synset('confederate_soldier.n.01')		india	kashmir
escape-51.1-2	Synset('military_action.n.01')		Synset('change.n.01')	Synset('emotion.n.01')
get-13.5.1	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('assets.n.01')
Synset('emotion.n.01')	cheat-10.6-1		calibratable_cos-45.6-1	Synset('time_unit.n.01')
bump-18.4	Synset('motor_vehicle.n.01')		murder-42.1-1	Synset('serviceman.n.01')
calibratable_cos-45.6-1	Synset('magnitude_relation.n.01')		other_cos-45.4	Synset('emotion.n.01')
Synset('activity.n.01')	Synset('federal_government.n.01')		murder-42.1-1	Synset('murderer.n.01')
Synset('leader.n.01')	contiguous_location-47.8-1		Synset('share.n.01')	Synset('levy.n.01')
Synset('document.n.01')	Synset('capitalist.n.02')		appear-48.1.1	Synset('funds.n.01')
appear-48.1.1	Synset('extent.n.02')		Synset('change.n.01')	Synset('emergence.n.01')
appear-48.1.1	Synset('system.n.02')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
Synset('anticipation.n.01')	Synset('magnitude_relation.n.01')		Synset('framework.n.03')	Synset('object.n.01')
Synset('collection.n.01')	await		calibratable_cos-45.6-1	Synset('funds.n.01')
Synset('person.n.01')	battle-36.4-1		other_cos-45.4	Synset('attempt.n.01')
contiguous_location-47.8	Synset('tax.n.01')		dow	Synset('time_unit.n.01')
Synset('interest.n.01')	Synset('economic_process.n.01')		Synset('value.n.02')	Synset('funds.n.01')
other_cos-45.4	Synset('ballplayer.n.01')		Synset('time_period.n.01')	fill-9.8
Synset('activity.n.01')	Synset('order.n.03')		Synset('force.n.04')	battle-36.4-1
other_cos-45.4	Synset('container.n.01')		contribute-13.2-1	Synset('succession.n.02')
appear-48.1.1	Synset('time_unit.n.01')		Synset('precious_metal.n.01')	Synset('degree.n.01')
Synset('discussion.n.02')	Synset('idea.n.01')		consume-66	Synset('point.n.06')
Synset('collection.n.01')	await		Synset('value.n.02')	Synset('attraction.n.01')
Synset('discussion.n.02')	Synset('legislature.n.01')		amuse-31.1	Synset('document.n.01')
iraq	Synset('document.n.01')		Synset('monetary_unit.n.01')	Synset('sphere.n.05')
calibratable_cos-45.6-1	Synset('income.n.01')		other_cos-45.4	Synset('framework.n.03')
Synset('value.n.02')	Synset('lipid.n.01')		appear-48.1.1	dow
contribute-13.2-2	cooperate-73-3		Synset('happening.n.01')	clinton
other_cos-45.4	Synset('value.n.02')		continue-55.3	Synset('cereal.n.01')
near	Synset('vote.n.02')		Synset('gathering.n.01')	force-59
calibratable_cos-45.6-1	Synset('reimbursement.n.01')		Synset('income.n.01')	Synset('motor_vehicle.n.01')
calibratable_cos-45.6-1	dow		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('operation.n.05')	israel		appear-48.1.1	Synset('strain.n.04')
begin-55.1-1	Synset('job_action.n.01')		appear-48.1.1	Synset('insufficiency.n.03')
bump-18.4	Synset('board.n.02')		Synset('happening.n.01')	Synset('railway.n.01')
other_cos-45.4	Synset('transferred_property.n.01')		calibratable_cos-45.6-1	Synset('income.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		crane-40.3.2	Synset('monetary_unit.n.01')
cheat-10.6-1	Synset('economic_process.n.01')		Synset('assets.n.01')	Synset('medium_of_exchange.n.01')
Synset('agent.n.05')	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('time_period.n.01')	stop-55.4-1		Synset('activity.n.01')	get-13.5.1
appear-48.1.1	Synset('information.n.01')		Synset('skilled_worker.n.01')	complete-55.2
Synset('person.n.01')	ferret-35.6		admire-31.2	Synset('woman.n.01')
other_cos-45.4	Synset('person.n.01')		Synset('unit.n.03')	dress-41.1.1
begin-55.1-1	Synset('bridge.n.05')		Synset('indefinite_quantity.n.01')	Synset('attraction.n.01')
appear-48.1.1	Synset('disorder.n.01')		appear-48.1.1	Synset('activity.n.01')
stop-55.4-1	Synset('conference.n.03')		exist-47.1-1	Synset('content.n.05')
Synset('military_action.n.01')	Synset('weapon.n.01')		Synset('adult.n.01')	Synset('serviceman.n.01')
begin-55.1-1	Synset('lipid.n.01')		Synset('commerce.n.01')	Synset('insufficiency.n.03')
other_cos-45.4	Synset('body_of_water.n.01')		calibratable_cos-45.6-1	Synset('lipid.n.01')
Synset('military_action.n.01')	help-72-1		Synset('military_action.n.01')	help-72-1
await	Synset('capitalist.n.02')		calibratable_cos-45.6-1	dow
Synset('collection.n.01')	Synset('merchant.n.01')		crane-40.3.2	Synset('monetary_unit.n.01')
Synset('emotion.n.01')	cheat-10.6-1		Synset('time_period.n.01')	Synset('gathering.n.01')
Synset('value.n.02')	Synset('attraction.n.01')		Synset('gathering.n.01')	Synset('funds.n.01')
amuse-31.1	west		murder-42.1-1	Synset('asian.n.01')
Synset('discussion.n.02')	Synset('written_agreement.n.01')		characterize-29.2-1-2	Synset('development.n.01')
Synset('anticipation.n.01')	Synset('share.n.01')		calibratable_cos-45.6-1	dow
contribute-13.2-1	Synset('kindness.n.03')		Synset('value.n.02')	pay-68
other_cos-45.4	Synset('natural_object.n.01')		appear-48.1.1	Synset('time_period.n.01')
bring-11.3	Synset('legal_document.n.01')		Synset('woody_plant.n.01')	Synset('duty.n.02')
bring-11.3	Synset('area.n.01')		appear-48.1.1	Synset('power.n.01')
amuse-31.1	Synset('precious_metal.n.01')		stop-55.4-1	Synset('time_unit.n.01')
appear-48.1.1	Synset('value.n.02')		characterize-29.2-1	Synset('danger.n.03')
other_cos-45.4	Synset('anticipation.n.01')		amuse-31.1	Synset('situation.n.03')
near	Synset('vote.n.02')		Synset('emergence.n.01')	Synset('strain.n.04')
appear-48.1.1	Synset('organization.n.01')		characterize-29.2-1-2	Synset('development.n.01')
calibratable_cos-45.6-1	Synset('reimbursement.n.01')		Synset('income.n.01')	Synset('document.n.01')
Synset('merchant.n.01')	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('framework.n.03')
conjecture-29.5-2	Synset('system.n.02')		amuse-31.1	Synset('funds.n.01')
amuse-31.1	Synset('tax.n.01')		convert-26.6.2	Synset('happening.n.01')
